Task A3: Lowest Temperature for United Kingdom for the Range of -20.0-10.0
Temperature, Year, Month, Country, Country_Code
0.1(C) 32.19(F), 2010, Dec, United Kingdom, GBR 
1.15(C) 34.06(F), 2010, Jan, United Kingdom, GBR 
1.85(C) 35.33(F), 2010, Feb, United Kingdom, GBR 
2.73(C) 36.92(F), 2009, Dec, United Kingdom, GBR 
2.89(C) 37.2(F), 2009, Jan, United Kingdom, GBR 
2.93(C) 37.27(F), 2001, Jan, United Kingdom, GBR 
2.95(C) 37.32(F), 2013, Feb, United Kingdom, GBR 
2.96(C) 37.32(F), 2013, Mar, United Kingdom, GBR 
3.03(C) 37.45(F), 2011, Jan, United Kingdom, GBR 
3.34(C) 38.01(F), 2008, Dec, United Kingdom, GBR 
3.36(C) 38.05(F), 2001, Feb, United Kingdom, GBR 
3.38(C) 38.09(F), 2001, Dec, United Kingdom, GBR 
3.48(C) 38.27(F), 2015, Feb, United Kingdom, GBR 
3.5(C) 38.29(F), 2005, Feb, United Kingdom, GBR 
3.51(C) 38.32(F), 2003, Feb, United Kingdom, GBR 
3.51(C) 38.32(F), 2013, Jan, United Kingdom, GBR 
3.53(C) 38.35(F), 2006, Feb, United Kingdom, GBR 
3.61(C) 38.51(F), 2009, Feb, United Kingdom, GBR 
3.69(C) 38.65(F), 2016, Feb, United Kingdom, GBR 
3.71(C) 38.67(F), 2003, Jan, United Kingdom, GBR 
3.85(C) 38.94(F), 2006, Jan, United Kingdom, GBR 
3.88(C) 38.98(F), 2015, Jan, United Kingdom, GBR 
3.96(C) 39.13(F), 2006, Mar, United Kingdom, GBR 
4.09(C) 39.37(F), 2012, Dec, United Kingdom, GBR 
4.16(C) 39.49(F), 2000, Jan, United Kingdom, GBR 
4.18(C) 39.53(F), 2001, Mar, United Kingdom, GBR 
4.2(C) 39.55(F), 2004, Feb, United Kingdom, GBR 
4.25(C) 39.65(F), 2012, Feb, United Kingdom, GBR 
4.31(C) 39.76(F), 2004, Jan, United Kingdom, GBR 
4.38(C) 39.88(F), 2003, Dec, United Kingdom, GBR 
4.39(C) 39.9(F), 2014, Dec, United Kingdom, GBR 
4.41(C) 39.93(F), 2005, Dec, United Kingdom, GBR 
4.53(C) 40.15(F), 2010, Nov, United Kingdom, GBR 
4.55(C) 40.2(F), 2007, Dec, United Kingdom, GBR 
4.56(C) 40.21(F), 2016, Jan, United Kingdom, GBR 
4.58(C) 40.25(F), 2012, Jan, United Kingdom, GBR 
4.6(C) 40.29(F), 2000, Dec, United Kingdom, GBR 
4.69(C) 40.44(F), 2014, Jan, United Kingdom, GBR 
4.76(C) 40.56(F), 2002, Dec, United Kingdom, GBR 
4.83(C) 40.7(F), 2011, Dec, United Kingdom, GBR 
4.9(C) 40.81(F), 2008, Feb, United Kingdom, GBR 
4.96(C) 40.93(F), 2004, Dec, United Kingdom, GBR 
4.97(C) 40.95(F), 2000, Feb, United Kingdom, GBR 
4.99(C) 40.97(F), 2014, Feb, United Kingdom, GBR 
5.03(C) 41.05(F), 2010, Mar, United Kingdom, GBR 
5.09(C) 41.17(F), 2008, Jan, United Kingdom, GBR 
5.11(C) 41.2(F), 2011, Feb, United Kingdom, GBR 
5.11(C) 41.21(F), 2008, Mar, United Kingdom, GBR 
5.13(C) 41.23(F), 2007, Feb, United Kingdom, GBR 
5.13(C) 41.24(F), 2002, Jan, United Kingdom, GBR 
5.24(C) 41.42(F), 2005, Jan, United Kingdom, GBR 
5.32(C) 41.57(F), 2016, Mar, United Kingdom, GBR 
5.32(C) 41.58(F), 2016, Nov, United Kingdom, GBR 
5.34(C) 41.61(F), 2015, Mar, United Kingdom, GBR 
5.45(C) 41.81(F), 2013, Dec, United Kingdom, GBR 
5.45(C) 41.82(F), 2002, Feb, United Kingdom, GBR 
5.46(C) 41.83(F), 2006, Dec, United Kingdom, GBR 
5.61(C) 42.1(F), 2004, Mar, United Kingdom, GBR 
5.65(C) 42.17(F), 2011, Mar, United Kingdom, GBR 
5.69(C) 42.24(F), 2007, Jan, United Kingdom, GBR 
5.75(C) 42.35(F), 2005, Nov, United Kingdom, GBR 
